Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,35643418,36686784,37769499,38972230,40099462
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,632746296,649756874,667242712,685112705,702976832
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,431138704,442646825,454306063,466189102,478185907
"Population, total",SP.POP.TOTL,Albania,ALB,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,41136546,41927007,42705368,43451666,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,49463,48424,47321,46189,45035
"Population, total",SP.POP.TOTL,Andorra,AND,73837,75013,76343,77700,79034
"Population, total",SP.POP.TOTL,Angola,AGO,30208628,31273533,32353588,33428486,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,91119,91626,92117,92664,93219
"Population, total",SP.POP.TOTL,Arab World,ARB,423664839,432545676,441467739,449228296,456520777
"Population, total",SP.POP.TOTL,Argentina,ARG,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,2851923,2836557,2820602,2805608,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,105439,105962,106442,106585,106537
"Population, total",SP.POP.TOTL,Australia,AUS,24594202,24966643,25340217,25655289,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,399020,401906,404557,406471,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,1456834,1487340,1494188,1477469,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161793964,163683958,165516222,167420951,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,279187,279688,280180,280693,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158,11427054,11488980,11538604,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,374693,382066,389095,394921,400031
"Population, total",SP.POP.TOTL,Benin,BEN,11596779,11940683,12290444,12643123,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,63873,63918,63911,63893,63867
"Population, total",SP.POP.TOTL,Bhutan,BTN,756121,762096,767459,772506,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3440027,3400129,3360711,3318407,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,2401840,2451409,2499702,2546402,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30060,30335,30610,30910,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,430276,434274,438048,441725,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19835858,20392723,20951639,21522626,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,11155593,11493472,11874838,12220227,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,564954,571202,577030,582640,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,15830689,16025238,16207746,16396860,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,24393181,25076747,25782341,26491087,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7303634,7374650,7424102,7444768,7481877
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,63581,64884,66134,67311,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4996741,5094780,5209324,5343020,5457154
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102740078,102538451,102398537,102180124,101430997
"Population, total",SP.POP.TOTL,Chad,TCD,15085884,15604210,16126866,16644701,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165215,167259,169410,171113,172683
"Population, total",SP.POP.TOTL,Chile,CHL,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,China,CHN,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,48351671,49276961,50187406,50930662,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,761664,776313,790986,806166,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84283273,87087355,89906890,92853164,95894118
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5312340,5441062,5570733,5702174,5835806
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4993842,5040734,5084532,5123105,5153957
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,24848016,25493988,26147551,26811790,27478249
"Population, total",SP.POP.TOTL,Croatia,HRV,4124531,4087843,4065253,4047680,3899000
"Population, total",SP.POP.TOTL,Cuba,CUB,11336405,11328244,11316697,11300698,11256372
"Population, total",SP.POP.TOTL,Curacao,CUW,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,1208523,1218831,1228836,1237537,1244188
"Population, total",SP.POP.TOTL,Czechia,CZE,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,1040233,1057198,1073994,1090156,1105557
"Population, total",SP.POP.TOTL,Dominica,DMA,70403,70823,71428,71995,72412
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10647244,10765531,10881882,10999664,11117873
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3252529883,3294298709,3335463995,3375134276,3411889059
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2327134580,2341387076,2353862247,2363940425,2370204347
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2080968782,2094573278,2106439246,2116424876,2123673456
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2055414680,2068898629,2080648616,2090523535,2097669023
"Population, total",SP.POP.TOTL,Ecuador,ECU,16696944,17015672,17343740,17588595,17797737
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,101789386,103740765,105618671,107465134,109262178
"Population, total",SP.POP.TOTL,El Salvador,SLV,6266654,6276342,6280217,6292731,6314167
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1450694,1502091,1553031,1596049,1634466
"Population, total",SP.POP.TOTL,Eritrea,ERI,3396933,3445374,3498818,3555868,3620312
"Population, total",SP.POP.TOTL,Estonia,EST,1317384,1321977,1326898,1329522,1330932
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1151390,1160428,1169613,1180655,1192271
"Population, total",SP.POP.TOTL,Ethiopia,ETH,108197950,111129438,114120594,117190911,120283026
"Population, total",SP.POP.TOTL,Euro area,EMU,341246081,342065158,342452734,342913447,343067846
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,915855416,918782553,921179725,923103879,923777214
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,396482489,398076771,399592320,400811771,401575218
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,458170561,459613334,460994696,462023771,462341222
"Population, total",SP.POP.TOTL,European Union,EUU,446215182,447001100,447367191,447692315,447199800
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,50230,50955,51681,52415,52889
"Population, total",SP.POP.TOTL,Fiji,FJI,919019,918996,918465,920422,924610
"Population, total",SP.POP.TOTL,Finland,FIN,5508214,5515525,5521606,5529543,5541017
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,916099469,936387926,957446713,979418527,1001462452
"Population, total",SP.POP.TOTL,France,FRA,66918020,67158348,67388001,67571107,67749632
"Population, total",SP.POP.TOTL,French Polynesia,PYF,295450,297606,299717,301920,304032
"Population, total",SP.POP.TOTL,Gabon,GAB,2140215,2192012,2242785,2292573,2341179
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2381182,2444916,2508883,2573995,2639916
"Population, total",SP.POP.TOTL,Georgia,GEO,3728004,3726549,3720161,3722716,3708610
"Population, total",SP.POP.TOTL,Germany,DEU,82657002,82905782,83092962,83160871,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,30222262,30870641,31522290,32180401,32833031
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32602,32648,32685,32709,32669
"Population, total",SP.POP.TOTL,Greece,GRC,10754679,10732882,10721582,10698599,10641221
"Population, total",SP.POP.TOTL,Greenland,GRL,56171,56023,56225,56367,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,120921,121838,122724,123663,124610
"Population, total",SP.POP.TOTL,Guam,GUM,168606,168678,168624,169231,170534
"Population, total",SP.POP.TOTL,Guatemala,GTM,16087418,16346950,16604026,16858333,17109746
"Population, total",SP.POP.TOTL,Guinea,GIN,12240789,12554864,12877539,13205153,13531906
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1879826,1924955,1970457,2015828,2060721
"Population, total",SP.POP.TOTL,Guyana,GUY,763252,785514,798753,797202,804567
"Population, total",SP.POP.TOTL,Haiti,HTI,10863543,11012421,11160438,11306801,11447569
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,770390212,792615894,815100831,838066650,861156745
"Population, total",SP.POP.TOTL,High income,HIC,1224733163,1230678232,1235869243,1240900955,1240629858
"Population, total",SP.POP.TOTL,Honduras,HND,9626842,9792850,9958829,10121763,10278345
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7393200,7452600,7507900,7481000,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,9787966,9775564,9771141,9750149,9709891
"Population, total",SP.POP.TOTL,IBRD only,IBD,..,..,..,..,..
"Population, total",SP.POP.TOTL,Iceland,ISL,343400,352721,360563,366463,372520
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6401367406,6479097294,6554880269,6628067973,6695397735
"Population, total",SP.POP.TOTL,IDA blend,IDB,..,..,..,..,..
"Population, total",SP.POP.TOTL,IDA only,IDX,..,..,..,..,..
"Population, total",SP.POP.TOTL,IDA total,IDA,..,..,..,..,..
"Population, total",SP.POP.TOTL,India,IND,1354195680,1369003306,1383112050,1396387127,1407563842
"Population, total",SP.POP.TOTL,Indonesia,IDN,264498852,267066843,269582878,271857970,273753191
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,84505076,85617562,86564202,87290193,87923432
"Population, total",SP.POP.TOTL,Iraq,IRQ,39621162,40590700,41563520,42556984,43533592
"Population, total",SP.POP.TOTL,Ireland,IRL,4807388,4867316,4934340,4985382,5033165
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83580,83775,83933,84046,84263
"Population, total",SP.POP.TOTL,Israel,ISR,8713300,8882800,9054000,9215100,9364000
"Population, total",SP.POP.TOTL,Italy,ITA,60536709,60421760,59729081,59438851,59109668
"Population, total",SP.POP.TOTL,Jamaica,JAM,2808376,2811835,2813773,2820436,2827695
"Population, total",SP.POP.TOTL,Japan,JPN,126972000,126811000,126633000,126261000,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,10215381,10459865,10698683,10928721,11148278
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18037776,18276452,18513673,18755666,19000988
"Population, total",SP.POP.TOTL,Kenya,KEN,48948137,49953304,50951450,51985780,53005614
"Population, total",SP.POP.TOTL,Kiribati,KIR,120362,122261,124241,126463,128874
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25516321,25638149,25755441,25867467,25971909
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51361911,51585058,51764822,51836239,51744876
"Population, total",SP.POP.TOTL,Kosovo,XKX,1791003,1797085,1788878,1790133,1786038
"Population, total",SP.POP.TOTL,Kuwait,KWT,4124904,4317185,4441100,4360444,4250114
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6198200,6322800,6456200,6579900,6691800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6997917,7105006,7212053,7319399,7425057
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2286564636,2298987320,2309491520,2317277311,2321862159
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,633797190,639628226,645295804,650534967,654981699
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,571144463,577406030,583500375,588808380,593308001
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,617875842,623841282,629515571,634680385,639188695
"Population, total",SP.POP.TOTL,Latvia,LVA,1942248,1927174,1913822,1900449,1884490
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,999288864,1023493788,1048193552,1073743450,1099568566
"Population, total",SP.POP.TOTL,Lebanon,LBN,6109252,5950839,5781907,5662923,5592631
"Population, total",SP.POP.TOTL,Lesotho,LSO,2170617,2198017,2225702,2254100,2281454
"Population, total",SP.POP.TOTL,Liberia,LBR,4796631,4889391,4985289,5087584,5193416
"Population, total",SP.POP.TOTL,Libya,LBY,6378261,6477793,6569088,6653942,6735277
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37889,38181,38482,38756,39039
"Population, total",SP.POP.TOTL,Lithuania,LTU,2828403,2801543,2794137,2794885,2800839
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6322861019,6401272453,6477841008,6551590116,6619578961
"Population, total",SP.POP.TOTL,Low income,LIC,643485701,661256583,680013468,699186538,718255072
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3225575822,3270214763,3313903477,3357118135,3398187527
"Population, total",SP.POP.TOTL,Luxembourg,LUX,596336,607950,620001,630419,640064
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,638609,650991,663653,676283,686607
"Population, total",SP.POP.TOTL,Madagascar,MDG,26169542,26846541,27533134,28225177,28915653
"Population, total",SP.POP.TOTL,Malawi,MWI,17881167,18367883,18867337,19377061,19889742
"Population, total",SP.POP.TOTL,Malaysia,MYS,31975806,32399271,32804020,33199993,33573874
"Population, total",SP.POP.TOTL,Maldives,MDV,472442,489758,504508,514438,521457
"Population, total",SP.POP.TOTL,Mali,MLI,19311355,19934298,20567424,21224040,21904983
"Population, total",SP.POP.TOTL,Malta,MLT,467999,484630,504062,515332,518536
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47187,45989,44728,43413,42050
"Population, total",SP.POP.TOTL,Mauritania,MRT,4160015,4270712,4383849,4498604,4614974
"Population, total",SP.POP.TOTL,Mauritius,MUS,1264613,1265303,1265711,1265740,1266060
"Population, total",SP.POP.TOTL,Mexico,MEX,122839258,124013861,125085311,125998302,126705138
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,110430,110929,111379,112106,113131
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,456885486,465073490,473201775,479966649,486167363
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,391607422,398375344,405259403,411810124,418047201
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,387152617,393806257,400574097,407006855,413124452
"Population, total",SP.POP.TOTL,Middle income,MIC,5679375318,5740015870,5797827540,5852403578,5901323889
"Population, total",SP.POP.TOTL,Moldova,MDA,2755189,2707203,2664224,2635130,2615199
"Population, total",SP.POP.TOTL,Monaco,MCO,37044,37029,37034,36922,36686
"Population, total",SP.POP.TOTL,Mongolia,MNG,3096030,3163991,3232430,3294335,3347782
"Population, total",SP.POP.TOTL,Montenegro,MNE,622373,622227,622028,621306,619211
"Population, total",SP.POP.TOTL,Morocco,MAR,35528115,35927511,36304408,36688772,37076584
"Population, total",SP.POP.TOTL,Mozambique,MOZ,28569441,29423878,30285595,31178239,32077072
"Population, total",SP.POP.TOTL,Myanmar,MMR,52288341,52666014,53040212,53423198,53798084
"Population, total",SP.POP.TOTL,Namibia,NAM,2364534,2405680,2446644,2489098,2530151
"Population, total",SP.POP.TOTL,Nauru,NRU,11682,11924,12132,12315,12511
"Population, total",SP.POP.TOTL,Nepal,NPL,28183426,28506712,28832496,29348627,30034989
"Population, total",SP.POP.TOTL,Netherlands,NLD,17131296,17231624,17344874,17441500,17533044
"Population, total",SP.POP.TOTL,New Caledonia,NCL,270810,271170,271230,271130,271030
"Population, total",SP.POP.TOTL,New Zealand,NZL,4813600,4900600,4979200,5090200,5122600
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6480532,6572233,6663924,6755895,6850540
"Population, total",SP.POP.TOTL,Niger,NER,21737922,22577058,23443393,24333639,25252722
"Population, total",SP.POP.TOTL,Nigeria,NGA,193495907,198387623,203304492,208327405,213401323
"Population, total",SP.POP.TOTL,North America,NAC,361731237,363967201,365995094,369602177,370203720
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2074502,2076217,2076694,2072531,2065092
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,50729,50304,49858,49587,49481
"Population, total",SP.POP.TOTL,Norway,NOR,5276968,5311916,5347896,5379475,5408320
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1348646085,1356241793,1362922537,1370241530,1372736513
"Population, total",SP.POP.TOTL,Oman,OMN,4541854,4601157,4602768,4543399,4520471
"Population, total",SP.POP.TOTL,Other small states,OSS,30940039,31494217,32005203,32381190,32708003
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2484263,2510226,2536070,2566819,2602173
"Population, total",SP.POP.TOTL,Pakistan,PAK,216379655,219731479,223293280,227196741,231402117
"Population, total",SP.POP.TOTL,Palau,PLW,17837,17864,17916,17972,18024
"Population, total",SP.POP.TOTL,Panama,PAN,4096063,4165255,4232532,4294396,4351267
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9114796,9329227,9542486,9749640,9949437
"Population, total",SP.POP.TOTL,Paraguay,PRY,6355404,6443328,6530026,6618695,6703799
"Population, total",SP.POP.TOTL,Peru,PER,31605486,32203944,32824861,33304756,33715471
"Population, total",SP.POP.TOTL,Philippines,PHL,106738501,108568836,110380804,112190977,113880328
"Population, total",SP.POP.TOTL,Poland,POL,37974826,37974750,37965475,37899070,37747124
"Population, total",SP.POP.TOTL,Portugal,PRT,10300300,10283822,10286263,10297081,10325147
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1106214534,1110126741,1113310738,1117443485,1116796245
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,905987912,931467165,957503246,984213438,1011043183
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3325286,3193354,3193694,3281538,3263584
"Population, total",SP.POP.TOTL,Qatar,QAT,2711755,2766732,2807235,2760385,2688235
"Population, total",SP.POP.TOTL,Romania,ROU,19588715,19473970,19371648,19265250,19119880
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144496739,144477859,144406261,144073139,143449286
"Population, total",SP.POP.TOTL,Rwanda,RWA,12230339,12531808,12835028,13146362,13461888
"Population, total",SP.POP.TOTL,Samoa,WSM,207630,209701,211905,214929,218764
"Population, total",SP.POP.TOTL,San Marino,SMR,34056,34156,34178,34007,33745
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,208036,211344,214599,218641,223107
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,34193122,35018133,35827362,35997107,35950396
"Population, total",SP.POP.TOTL,Senegal,SEN,15157793,15574909,16000781,16436120,16876720
"Population, total",SP.POP.TOTL,Serbia,SRB,7020858,6982604,6945235,6899126,6834326
"Population, total",SP.POP.TOTL,Seychelles,SYC,95843,96762,97625,98462,99258
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7677565,7861281,8046828,8233970,8420641
"Population, total",SP.POP.TOTL,Singapore,SGP,5612253,5638676,5703569,5685807,5453566
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40574,40895,41608,42310,42846
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5439232,5446771,5454147,5458827,5447247
"Population, total",SP.POP.TOTL,Slovenia,SVN,2066388,2073894,2088385,2102419,2108079
"Population, total",SP.POP.TOTL,Small states,SST,40727936,41379093,41965375,42392777,42792053
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,643634,659249,674993,691191,707851
"Population, total",SP.POP.TOTL,Somalia,SOM,14864221,15411094,15981300,16537016,17065581
"Population, total",SP.POP.TOTL,South Africa,ZAF,56641209,57339635,58087055,58801927,59392255
"Population, total",SP.POP.TOTL,South Asia,SAS,1818868706,1840534093,1861598514,1882531620,1901911604
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1818868706,1840534093,1861598514,1882531620,1901911604
"Population, total",SP.POP.TOTL,South Sudan,SSD,10658226,10395329,10447666,10606227,10748272
"Population, total",SP.POP.TOTL,Spain,ESP,46593236,46797754,47134837,47365655,47415750
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21444000,21670000,21803000,21919000,22156000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47785,47761,47712,47642,47606
"Population, total",SP.POP.TOTL,St. Lucia,LCA,177163,177888,178583,179237,179651
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,34496,33852,33121,32553,31948
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,105549,105281,104924,104632,104332
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1063885000,1092403699,1121548775,1151301807,1181162739
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1063789157,1092306937,1121451150,1151203345,1181063481
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1063885000,1092403699,1121548775,1151301807,1181162739
"Population, total",SP.POP.TOTL,Sudan,SDN,40679828,41999059,43232093,44440486,45657202
"Population, total",SP.POP.TOTL,Suriname,SUR,587559,593715,600301,607065,612985
"Population, total",SP.POP.TOTL,Sweden,SWE,10057698,10175214,10278887,10353442,10415811
"Population, total",SP.POP.TOTL,Switzerland,CHE,8451840,8514329,8575280,8638167,8703405
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,18983373,19333463,20098251,20772595,21324367
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8925525,9128132,9337003,9543207,9750064
"Population, total",SP.POP.TOTL,Tanzania,TZA,56267032,58090443,59872579,61704518,63588334
"Population, total",SP.POP.TOTL,Thailand,THA,70898202,71127802,71307763,71475664,71601103
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1243235,1261845,1280438,1299995,1320942
"Population, total",SP.POP.TOTL,Togo,TGO,7852795,8046679,8243094,8442580,8644829
"Population, total",SP.POP.TOTL,Tonga,TON,105415,105150,104951,105254,106017
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1478607,1504709,1519955,1518147,1525663
"Population, total",SP.POP.TOTL,Tunisia,TUN,11811443,11933041,12049314,12161723,12262946
"Population, total",SP.POP.TOTL,Turkiye,TUR,82089826,82809304,83481684,84135428,84775404
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5968383,6065066,6158420,6250438,6341855
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,39844,41487,43080,44276,45114
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10828,10865,10956,11069,11204
"Population, total",SP.POP.TOTL,Uganda,UGA,40127085,41515395,42949080,44404611,45853778
"Population, total",SP.POP.TOTL,Ukraine,UKR,44831135,44622518,44386203,44132049,43792855
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9068296,9140169,9211657,9287289,9365145
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66058859,66460344,66836327,67081000,67326569
"Population, total",SP.POP.TOTL,United States,USA,325122128,326838199,328329953,331501080,331893745
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2453799496,2469801107,2483924063,2495285443,2503136362
"Population, total",SP.POP.TOTL,Uruguay,URY,3422200,3427042,3428409,3429086,3426260
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32388600,32956100,33580350,34232050,34915100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,290239,297298,304404,311685,319137
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30563433,29825653,28971683,28490453,28199867
"Population, total",SP.POP.TOTL,Vietnam,VNM,94033048,94914330,95776716,96648685,97468029
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107281,107001,106669,106290,105870
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4454805,4569087,4685306,4803269,4922749
"Population, total",SP.POP.TOTL,World,WLD,7578157615,7661776338,7742681934,7820981524,7888408686
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,30034389,30790513,31546691,32284046,32981641
"Population, total",SP.POP.TOTL,Zambia,ZMB,17298054,17835893,18380477,18927715,19473125
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14751101,15052184,15354608,15669666,15993524
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,
Last Updated: 12/23/2022,,,,,,,,
